Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_55_337,VGND,li1,163.3000,163.2000,0.000015
FILLER_55_328,VGND,li1,158.2400,163.2000,0.000016
FILLER_55_311,VGND,li1,149.9600,163.2000,0.000017
FILLER_55_299,VGND,li1,145.8200,163.2000,0.000018
FILLER_55_289,VGND,li1,139.1500,163.2000,0.000018
FILLER_55_281,VGND,li1,136.6200,163.2000,0.000019
FILLER_55_279,VGND,li1,134.0900,163.2000,0.000019
FILLER_55_271,VGND,li1,130.4100,163.2000,0.000019
FILLER_55_261,VGND,li1,126.2700,163.2000,0.000020
FILLER_55_249,VGND,li1,122.8200,163.2000,0.000021
FILLER_55_245,VGND,li1,118.4500,163.2000,0.000021
FILLER_55_237,VGND,li1,116.3800,163.2000,0.000021
FILLER_55_225,VGND,li1,111.7800,163.2000,0.000022
FILLER_55_220,VGND,li1,107.6400,163.2000,0.000022
FILLER_55_206,VGND,li1,100.5100,163.2000,0.000023
FILLER_55_200,VGND,li1,98.9000,163.2000,0.000023
FILLER_55_195,VGND,li1,95.4500,163.2000,0.000024
FILLER_55_184,VGND,li1,91.0800,163.2000,0.000025
FILLER_55_160,VGND,li1,79.3500,163.2000,0.000026
FILLER_55_137,VGND,li1,68.7700,163.2000,0.000024
FILLER_55_125,VGND,li1,65.7800,163.2000,0.000023
FILLER_55_113,VGND,li1,60.2600,163.2000,0.000021
FILLER_55_111,VGND,li1,56.8100,163.2000,0.000019
FILLER_55_105,VGND,li1,55.2000,163.2000,0.000019
FILLER_55_93,VGND,li1,51.0600,163.2000,0.000017
FILLER_55_81,VGND,li1,45.5400,163.2000,0.000014
FILLER_55_69,VGND,li1,40.0200,163.2000,0.000012
FILLER_55_57,VGND,li1,34.5000,163.2000,0.000009
FILLER_55_54,VGND,li1,30.8200,163.2000,0.000007
FILLER_55_42,VGND,li1,27.6000,163.2000,0.000006
FILLER_55_30,VGND,li1,22.0800,163.2000,0.000005
FILLER_55_18,VGND,li1,16.5600,163.2000,0.000005
FILLER_55_6,VGND,li1,11.0400,163.2000,0.000005
FILLER_54_405,VGND,li1,192.2800,157.7600,0.000053
FILLER_54_376,VGND,li1,179.4000,157.7600,0.000047
FILLER_54_365,VGND,li1,174.8000,157.7600,0.000060
FILLER_54_363,VGND,li1,172.7300,157.7600,0.000067
FILLER_54_357,VGND,li1,171.1200,157.7600,0.000067
